# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100004_13000GeV_418440/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100004_13000GeV_418440/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100004_13000GeV_418440/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100004_13000GeV_418440/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100004_13000GeV_418440/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
ScaledBy=9.99999999999904638e-05
Title=ttH(tt) 1.4 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	2.117654e-06	5.659669e-07	5.659669e-07
-3.000000e+00	-2.500000e+00	9.378182e-06	1.191030e-06	1.191030e-06
-2.500000e+00	-2.000000e+00	1.013449e-05	1.238125e-06	1.238125e-06
-2.000000e+00	-1.500000e+00	9.226922e-06	1.181386e-06	1.181386e-06
-1.500000e+00	-1.000000e+00	1.028575e-05	1.247330e-06	1.247330e-06
-1.000000e+00	-5.000000e-01	8.470616e-06	1.131934e-06	1.131934e-06
-5.000000e-01	0.000000e+00	9.983226e-06	1.228850e-06	1.228850e-06
0.000000e+00	5.000000e-01	9.680704e-06	1.210088e-06	1.210088e-06
5.000000e-01	1.000000e+00	9.831966e-06	1.219505e-06	1.219505e-06
1.000000e+00	1.500000e+00	8.168094e-06	1.111537e-06	1.111537e-06
1.500000e+00	2.000000e+00	8.470616e-06	1.131934e-06	1.131934e-06
2.000000e+00	2.500000e+00	7.865572e-06	1.090759e-06	1.090759e-06
2.500000e+00	3.000000e+00	1.028575e-05	1.247330e-06	1.247330e-06
3.000000e+00	3.500000e+00	2.722698e-06	6.417461e-07	6.417461e-07
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu1Phi_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	1.636795e-05	4.725020e-06	4.725020e-06
-3.000000e+00	-2.500000e+00	8.047574e-05	1.047705e-05	1.047705e-05
-2.500000e+00	-2.000000e+00	5.592382e-05	8.733833e-06	8.733833e-06
-2.000000e+00	-1.500000e+00	7.229178e-05	9.930039e-06	9.930039e-06
-1.500000e+00	-1.000000e+00	6.274380e-05	9.251069e-06	9.251069e-06
-1.000000e+00	-5.000000e-01	7.911176e-05	1.038788e-05	1.038788e-05
-5.000000e-01	0.000000e+00	5.865182e-05	8.944319e-06	8.944319e-06
0.000000e+00	5.000000e-01	5.865182e-05	8.944319e-06	8.944319e-06
5.000000e-01	1.000000e+00	6.410780e-05	9.351083e-06	9.351083e-06
1.000000e+00	1.500000e+00	6.137980e-05	9.149962e-06	9.149962e-06
1.500000e+00	2.000000e+00	6.274380e-05	9.251069e-06	9.251069e-06
2.000000e+00	2.500000e+00	8.593174e-05	1.082638e-05	1.082638e-05
2.500000e+00	3.000000e+00	6.137980e-05	9.149962e-06	9.149962e-06
3.000000e+00	3.500000e+00	1.227596e-05	4.091987e-06	4.091987e-06
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

