# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
ScaledBy=1.00000000000023220e-04
Title=ttH(tt) 2.3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	9.252474e-07	8.742766e-08	8.742766e-08
-2.000000e+00	-1.500000e+00	1.842234e-06	1.233651e-07	1.233651e-07
-1.500000e+00	-1.000000e+00	3.552290e-06	1.713066e-07	1.713066e-07
-1.000000e+00	-5.000000e-01	5.898452e-06	2.207440e-07	2.207440e-07
-5.000000e-01	0.000000e+00	7.162406e-06	2.432481e-07	2.432481e-07
0.000000e+00	5.000000e-01	7.286324e-06	2.453433e-07	2.453433e-07
5.000000e-01	1.000000e+00	5.642356e-06	2.158988e-07	2.158988e-07
1.000000e+00	1.500000e+00	3.750556e-06	1.760223e-07	1.760223e-07
1.500000e+00	2.000000e+00	2.222246e-06	1.354927e-07	1.354927e-07
2.000000e+00	2.500000e+00	1.016120e-06	9.162046e-08	9.162046e-08
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Eta_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	1.500395e-04	1.430571e-05	1.430571e-05
-2.000000e+00	-1.500000e+00	2.959870e-04	2.009291e-05	2.009291e-05
-1.500000e+00	-1.000000e+00	5.415064e-04	2.717742e-05	2.717742e-05
-1.000000e+00	-5.000000e-01	6.983658e-04	3.086370e-05	3.086370e-05
-5.000000e-01	0.000000e+00	8.579534e-04	3.420884e-05	3.420884e-05
0.000000e+00	5.000000e-01	8.115774e-04	3.327143e-05	3.327143e-05
5.000000e-01	1.000000e+00	7.174618e-04	3.128282e-05	3.128282e-05
1.000000e+00	1.500000e+00	5.128624e-04	2.644886e-05	2.644886e-05
1.500000e+00	2.000000e+00	3.396350e-04	2.152348e-05	2.152348e-05
2.000000e+00	2.500000e+00	1.377636e-04	1.370799e-05	1.370799e-05
# END HISTO1D

