# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
ScaledBy=3.72995151063002157e-04
Title=ttH(tt) 2.7 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	3.142346e-07	6.047446e-08	6.047446e-08
-3.000000e+00	-2.500000e+00	1.128917e-06	1.146241e-07	1.146241e-07
-2.500000e+00	-2.000000e+00	1.187108e-06	1.175412e-07	1.175412e-07
-2.000000e+00	-1.500000e+00	1.187108e-06	1.175412e-07	1.175412e-07
-1.500000e+00	-1.000000e+00	1.408236e-06	1.280215e-07	1.280215e-07
-1.000000e+00	-5.000000e-01	1.094002e-06	1.128377e-07	1.128377e-07
-5.000000e-01	0.000000e+00	1.105640e-06	1.134363e-07	1.134363e-07
0.000000e+00	5.000000e-01	1.117278e-06	1.140317e-07	1.140317e-07
5.000000e-01	1.000000e+00	1.047448e-06	1.104108e-07	1.104108e-07
1.000000e+00	1.500000e+00	1.256938e-06	1.209489e-07	1.209489e-07
1.500000e+00	2.000000e+00	1.187108e-06	1.175412e-07	1.175412e-07
2.000000e+00	2.500000e+00	1.315130e-06	1.237170e-07	1.237170e-07
2.500000e+00	3.000000e+00	1.128917e-06	1.146241e-07	1.146241e-07
3.000000e+00	3.500000e+00	4.771710e-07	7.452157e-08	7.452157e-08
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Phi_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	1.268516e-04	1.315390e-05	1.315390e-05
-3.000000e+00	-2.500000e+00	3.982868e-04	2.330797e-05	2.330797e-05
-2.500000e+00	-2.000000e+00	4.214746e-04	2.397686e-05	2.397686e-05
-2.000000e+00	-1.500000e+00	4.228386e-04	2.401562e-05	2.401562e-05
-1.500000e+00	-1.000000e+00	4.051068e-04	2.350668e-05	2.350668e-05
-1.000000e+00	-5.000000e-01	4.064708e-04	2.354622e-05	2.354622e-05
-5.000000e-01	0.000000e+00	4.201106e-04	2.393803e-05	2.393803e-05
0.000000e+00	5.000000e-01	3.791908e-04	2.274236e-05	2.274236e-05
5.000000e-01	1.000000e+00	4.091988e-04	2.362510e-05	2.362510e-05
1.000000e+00	1.500000e+00	3.614588e-04	2.220424e-05	2.220424e-05
1.500000e+00	2.000000e+00	4.119268e-04	2.370372e-05	2.370372e-05
2.000000e+00	2.500000e+00	4.023788e-04	2.342739e-05	2.342739e-05
2.500000e+00	3.000000e+00	3.901028e-04	2.306726e-05	2.306726e-05
3.000000e+00	3.500000e+00	1.077557e-04	1.212346e-05	1.212346e-05
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

